Log started on 2/4/2022
Connected to Server at 0:36:45
1:11:47:Device Configured
UID: KP_P2_S2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
1:14:17:Time Elapsed (s):149 of 180
1:14:19:Time Elapsed (s):150 of 180
1:14:19:Time Elapsed (s):151 of 180
1:14:20:Time Elapsed (s):152 of 180
1:14:21:Time Elapsed (s):153 of 180
1:14:22:Time Elapsed (s):154 of 180
1:14:23:Time Elapsed (s):155 of 180
1:14:24:Time Elapsed (s):156 of 180
1:14:25:Time Elapsed (s):157 of 180
1:14:27:Time Elapsed (s):158 of 180
1:14:27:Time Elapsed (s):159 of 180
1:14:28:Time Elapsed (s):160 of 180
1:14:29:Time Elapsed (s):161 of 180
1:14:30:Time Elapsed (s):162 of 180
1:14:31:Time Elapsed (s):163 of 180
1:14:32:Time Elapsed (s):164 of 180
1:14:33:Time Elapsed (s):165 of 180
1:14:34:Time Elapsed (s):166 of 180
1:14:35:Time Elapsed (s):167 of 180
1:14:36:Time Elapsed (s):168 of 180
1:14:37:Time Elapsed (s):169 of 180
1:14:38:Time Elapsed (s):170 of 180
1:14:39:Time Elapsed (s):171 of 180
1:14:40:Time Elapsed (s):172 of 180
1:14:41:Time Elapsed (s):173 of 180
1:14:42:Time Elapsed (s):174 of 180
1:14:43:Time Elapsed (s):175 of 180
1:14:45:Time Elapsed (s):176 of 180
1:14:45:Time Elapsed (s):177 of 180
1:14:46:Time Elapsed (s):178 of 180
1:14:48:Time Elapsed (s):179 of 180
1:14:48:Time Elapsed (s):180 of 180
1:14:49:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
